country,lat,long
JP,34.6967,135.5154
ES,40.4172,-3.684
GB,53.4804,-2.1862
US,41.1144,-74.0429
CA,49.2643,-123.0961
US,39.0469,-77.4903
CN,39.911,116.395
DE,53.5496,9.9355
US,39.364,-76.4522
CA,43.6547,-79.3623
US,32.2508,-80.8718
DE,49.4527,11.0783
RU,56.8469,60.6137
FI,60.1719,24.9347
LT,55.9399,23.3132
FR,48.9742,8.1851
GB,51.5005,-0.1905
DE,50.4777,12.3649
NO,59.9463,10.7541
DE,50.4777,12.3649
IE,53.3382,-6.2591
US,36.1685,-115.1164
CH,47.3643,8.5437
CA,45.5075,-73.5887
ID,-6.2114,106.8446
CZ,50.0848,14.4112
JP,35.69,139.69
DE,48.767,9.1827
RO,44.4291,26.1006
DE,49.4423,11.0191
DE,50.4777,12.3649
SA,24.6869,46.7224
HK,22.2842,114.1759
FR,48.8138,2.3873
FI,60.1719,24.9347
US,34.0544,-118.244
US,39.9625,-83.0061
GB,53.552,-1.4872
CA,43.5142,-79.8845
DE,49.0078,8.4001
DE,50.1169,8.6837
US,40.5511,-74.4606
DZ,35.7204,-0.6659
US,45.8401,-119.705
US,33.9687,-118.037
SG,1.3552,103.8859
ZA,-26.2309,28.0583
GB,51.487,0.1812
CN,34.7732,113.722
DE,50.4777,12.3649
IT,43.1479,12.1097
DE,51.1864,6.8624
US,29.5,-98.6744
DE,50.4777,12.3649
FR,48.8582,2.3387
NL,52.0813,4.2811
MY,2.9679,101.653
DE,50.4777,12.3649
DE,50.1522,10.1386
US,32.8793,-96.6375
US,39.9361,-75.2625
FR,44.8412,-0.5806
US,37.751,-97.822
CZ,50.0471,14.4523
SE,59.3274,18.0653
NL,52.352,4.9392
FR,48.8582,2.3387
DE,53.113,8.2204
US,40.5468,-74.1804
DE,51.1408,12.6454
US,37.3931,-121.962
ES,40.4153,-3.694
DE,51.2993,9.491
AT,48.2372,16.3771
DE,49.4527,11.0783
DE,53.5956,10.0044
SE,59.2711,17.8913
DE,51.2993,9.491
US,38.1278,-85.5741
CA,43.6319,-79.3716
US,42.9827,-70.9472
AT,48.1951,16.3483
US,41.2591,-95.8517
DE,50.1169,8.6837
US,47.1291,-122.4094
US,38.6583,-77.2481
US,39.0469,-77.4903
DE,50.1169,8.6837
FI,60.1719,24.9347
US,40.4422,-79.9927
FR,48.8582,2.3387
NL,52.3824,4.8995
SI,46.1718,14.608
DE,50.4777,12.3649
US,37.751,-97.822
FR,48.9138,2.2569
