country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,estimated_,iso3,status,color_code,name_2,continent,region,iso_3166_1,french_sho
DEU,Germany,Eiche Solar Power Plant,WRI1025908,26.500000000000000,52.562700000000000,13.603100000000000,Solar,,,,,,SYBAC Solar GmbH,http://www.sybac-solar.de,Industry About,"1086123",,,,,,,245.438764625466945,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eisenach Solar Power Plant,WRI1030187,3.300000000000000,51.002299999999998,10.325400000000000,Solar,,,,,,Enerparc AG,http://www.enerparc.de,Industry About,,,,,,,,30.564072576001543,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eitting,WRI1005654,26.000000000000000,48.358600000000003,11.882199999999999,Hydro,,,,1925.000000000000000,E.ON Kraftwerke GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,66.259753007281560,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ellgau,WRI1005655,9.699999999999999,48.596699999999998,10.878900000000000,Hydro,,,,1952.000000000000000,Rhein-Main-Donau AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1066203",,,,,,,24.719984775793510,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ellh�ft Solar Power Plant,WRI1030019,2.000000000000000,54.891199999999998,8.958000000000000,Solar,,,,,,Solarpark Roden�s GmbH,http://www.solarpark-rodenaes.de,Industry About,,,,,,,,18.523680349091844,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ellighofen Solar Power Plant,WRI1030384,3.500000000000000,48.003799999999998,10.857100000000001,Solar,,,,,,Solar-Konzept GmbH,http://www.solar-konzept.de,Industry About,,,,,,,,32.416440610910726,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ellscheid Solar Power Plant,WRI1030230,5.000000000000000,50.155099999999997,6.930300000000000,Solar,,,,,,SYBAC Solar GmbH,http://www.sybac-solar.de,Industry About,,,,,,,,46.309200872729605,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Elsterheide Solar Power Plant,WRI1030141,20.000000000000000,51.472799999999999,14.305400000000001,Solar,,,,,,CEE PVF Elsterheide GmbH & Co KG,http://www.cee-holding.de,Industry About,,,,,,,,185.236803490918419,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Emden Biomasse,WRI1005656,20.000000000000000,53.342199999999998,7.206200000000000,Biomass,,,,2005.000000000000000,Statkraft Markets GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,523.711713888721192,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Emden Natural Gas,WRI1005657,50.000000000000000,53.342199999999998,7.206200000000000,Gas,,,,1973.000000000000000,Statkraft Markets GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,127.444459225754926,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Emlichheim Solar Power Plant,WRI1030070,5.000000000000000,52.622300000000003,6.862600000000000,Solar,,,,,,Sunics Solar GmbH,http://www.sunics-solar.de,Industry About,,,,,,,,46.309200872729605,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Emsland,WRI1005658,1837.000000000000000,52.481900000000003,7.306700000000000,Gas,,,,,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,1285.490999999999985,,4682.309431954235151,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Energieanlage 3,WRI1005660,18.600000000000001,53.149000000000001,12.379700000000000,Biomass,,,,2002.000000000000000,Kronoply GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,487.051893916510721,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Energiezentrale,WRI1005661,11.100000000000000,51.574399999999997,7.297900000000000,Gas,,,,1991.000000000000000,RÃœTGERS InfraTec GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1108149",,,,,,,28.292669948117592,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Energiezentrale 1992,WRI1005662,11.060000000000000,48.359099999999998,11.790300000000000,Gas,,,,1992.000000000000000,Flughafen München GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,28.190714380736988,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Energiezentrum Mohn Media,WRI1005663,22.000000000000000,51.907299999999999,8.408799999999999,Gas,,,,1994.000000000000000,Mohn Media Mohndruck GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,56.075562059332157,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Enertec Hameln,WRI1005664,31.500000000000000,52.098799999999997,9.388199999999999,Waste,,,,2002.000000000000000,Enertec Hameln GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,267.714312688821792,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Enkirch,WRI1005666,18.399999999999999,49.976700000000001,7.127800000000000,Hydro,,,,1966.000000000000000,RWE Innogy GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1023093",,,,,,,46.891517512845411,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ergoldsbach Solar Power Plant,WRI1030330,5.100000000000000,48.675899999999999,12.196199999999999,Solar,,,,,,Solar Asset Management,http://www.sol-asset.com,Industry About,"1083916",,,,,,,47.235384890184193,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ering,WRI1005667,36.500000000000000,48.293500000000002,13.158500000000000,Hydro,,,,1942.000000000000000,Innwerk AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,93.018499414068359,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Erlasee Solar Power Plant,WRI1030238,11.400000000000000,50.002899999999997,9.920400000000001,Solar,,,,,,Gut Erlasee Solarpark,http://www.sagsolar.com,Industry About,,,,,,,,105.584977989823543,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
